fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;quality
9.899999999999999;0.34;0.33999999999999997;12.149999999999999;0.07999999999999999;67.5;200.0;0.9968;3.32;0.43;10.200000000000001;3
6.0;0.5650000000000001;-0.35000000000000003;2.0;0.034999999999999996;47.0;111.0;0.9906;3.3800000000000003;0.34;12.200000000000001;3
7.5;0.32;-0.08000000000000002;0.6000000000000001;0.045;48.0;123.0;0.9914;3.2300000000000004;0.47000000000000003;11.4;3
8.100000000000001;0.16;0.17999999999999997;7.9499999999999975;0.08199999999999999;49.5;187.0;0.9958;3.35;0.44;10.3;3
7.1;-5.551115123125783e-17;0.32;4.6;0.052000000000000005;56.0;179.0;0.9928;3.41;0.38999999999999996;10.5;3
6.5;0.36;0.19999999999999998;2.75;0.04;16.0;104.0;0.9942;3.2100000000000004;0.35;10.1;3
8.100000000000001;0.16;0.17999999999999997;7.9499999999999975;0.08199999999999999;49.5;187.0;0.9958;3.35;0.44;10.3;3
7.9;0.29000000000000004;0.35;1.45;0.042;20.0;101.0;0.994;3.3100000000000005;0.37;11.4;3
8.4;0.51;0.19;0.6499999999999999;-0.0020000000000000018;4.0;57.0;0.9889600000000001;2.86;0.41000000000000003;12.200000000000001;3
6.8;0.18;0.44999999999999996;7.8;0.024;24.0;149.0;0.9968;3.2700000000000005;0.43;9.899999999999999;3
7.9;0.39;0.39000000000000007;3.0999999999999996;0.02899999999999999;28.0;151.0;0.98865;2.8600000000000003;0.37000000000000005;13.6;3
6.5;0.26;0.22000000000000006;16.0;0.029999999999999992;47.0;141.0;0.9951;2.8200000000000003;0.4;10.399999999999999;3
8.5;0.31;0.35000000000000003;11.1;0.032999999999999995;33.0;168.0;0.99625;2.91;0.56;10.0;3
4.3999999999999995;0.14500000000000002;0.51;-0.30000000000000027;-0.034999999999999976;54.0;137.0;0.9953;3.42;0.33999999999999997;7.699999999999999;3
7.9;0.36;0.25999999999999995;4.449999999999999;0.038000000000000006;34.0;87.0;0.9934;3.2100000000000004;0.35;11.3;3
8.5;0.31;0.35000000000000003;11.1;0.032999999999999995;33.0;168.0;0.99625;2.91;0.56;10.0;3
8.4;0.41000000000000003;0.20999999999999996;0.8499999999999999;0.032;21.0;102.0;0.9923;3.35;0.35;12.3;3
3.8999999999999995;0.09500000000000003;0.20000000000000004;0.09999999999999964;-0.11199999999999999;47.0;136.0;0.9944999999999999;3.52;0.47;8.799999999999999;3
7.6000000000000005;0.19;0.29000000000000004;11.5;0.03599999999999999;44.0;173.0;0.99465;2.79;0.62;10.399999999999999;3
6.9;0.17;0.2700000000000001;3.5999999999999996;0.03699999999999999;40.0;152.0;0.99015;3.06;0.56;12.1;3
7.3;0.255;0.31999999999999995;10.649999999999999;0.06999999999999999;52.5;199.0;0.9947;3.2;0.6000000000000001;10.200000000000001;3
5.2;0.15500000000000003;0.18000000000000002;-4.440892098500626e-16;-0.11899999999999998;45.0;142.0;0.9954999999999999;3.7399999999999998;0.5800000000000001;8.799999999999999;3
6.800000000000001;0.30000000000000004;0.25;1.85;0.030000000000000006;34.0;93.0;0.9907999999999999;3.3800000000000003;0.36;12.5;3
6.5;0.26;0.22000000000000006;16.0;0.029999999999999992;47.0;141.0;0.9951;2.8200000000000003;0.4;10.399999999999999;3
7.9;0.27;0.12999999999999998;6.349999999999998;0.07799999999999999;53.5;204.0;0.9941;3.18;0.49;10.000000000000002;3
9.6;0.42999999999999994;0.18000000000000005;0.7999999999999998;0.003999999999999997;12.0;55.0;0.9907600000000001;2.7499999999999996;0.55;11.4;3
6.5;0.5800000000000001;0.30000000000000004;8.85;0.049;77.0;205.5;0.99875;3.57;0.6000000000000001;8.700000000000001;3
4.2;0.20500000000000004;0.12000000000000002;4.0;-0.12599999999999997;69.0;182.0;0.99645;3.63;0.38999999999999996;8.799999999999999;3
7.4;0.32;-0.10999999999999999;5.2;0.047999999999999994;30.0;124.0;0.9948;3.4000000000000004;0.53;10.5;3
6.800000000000001;0.31000000000000005;0.24;1.15;0.025;21.0;98.0;0.991;3.5300000000000002;0.35;12.4;3
10.8;0.03999999999999998;0.27;13.8;0.020999999999999998;18.0;113.0;0.9988;2.94;0.56;9.999999999999998;3
7.9;0.27;0.12999999999999998;6.349999999999998;0.07799999999999999;53.5;204.0;0.9941;3.18;0.49;10.000000000000002;3
7.8;0.32;0.13999999999999999;6.049999999999998;0.07899999999999999;55.5;211.0;0.9941;3.13;0.51;9.500000000000002;3
6.5;-5.551115123125783e-17;0.18000000000000002;1.7;0.061;50.0;180.0;0.9955;3.4;0.6099999999999999;7.4;3
4.3999999999999995;0.29500000000000004;2.7755575615628914e-17;-4.440892098500626e-16;-0.11999999999999998;60.0;145.0;0.9943;3.4899999999999998;0.42;8.6;3
7.1000000000000005;0.45;-0.10999999999999999;4.0;0.049999999999999996;32.0;102.0;0.9918;3.4000000000000004;0.5800000000000001;12.5;3
6.8999999999999995;0.06999999999999995;0.22000000000000003;9.9;0.069;33.0;182.0;0.9955;3.16;0.33999999999999997;9.4;3
6.7;0.19;0.25000000000000006;2.4999999999999996;0.031999999999999994;40.0;140.0;0.99215;3.02;0.77;10.2;3
6.8999999999999995;0.07999999999999996;0.22000000000000003;9.5;0.069;32.0;179.0;0.9955;3.16;0.35;9.4;3
6.8999999999999995;0.06999999999999995;0.22000000000000003;9.9;0.069;33.0;182.0;0.9955;3.16;0.33999999999999997;9.4;3
6.300000000000001;0.21000000000000002;-0.10999999999999999;2.5;0.057999999999999996;32.0;99.0;0.9924;3.4000000000000004;0.42000000000000004;11.100000000000001;3
11.2;0.31999999999999995;0.97;22.5;0.013999999999999999;28.0;136.0;0.9991;2.7800000000000002;0.4600000000000001;12.399999999999999;3
6.7;0.19;0.25000000000000006;2.4999999999999996;0.031999999999999994;40.0;140.0;0.99215;3.02;0.77;10.2;3
6.6000000000000005;0.16;0.35000000000000003;2.8999999999999995;0.024999999999999994;43.0;149.0;0.99025;3.1;0.74;11.7;3
6.6000000000000005;0.16;0.35000000000000003;2.8999999999999995;0.024999999999999994;43.0;149.0;0.99025;3.1;0.74;11.7;3
6.2;0.09500000000000003;0.24000000000000002;4.0;-0.11599999999999999;49.0;151.0;0.9974;3.56;0.42;8.4;3
5.8999999999999995;0.25;0.2;3.7;0.043;16.0;201.0;0.99402;3.47;0.33999999999999997;11.2;3
6.3;0.135;0.19000000000000003;7.85;-0.13399999999999998;75.0;143.0;0.9966;3.3699999999999997;0.41;10.0;3
9.1;0.5900000000000001;0.37;1.15;0.05500000000000001;18.0;100.0;0.9951;3.3400000000000003;0.49999999999999994;11.5;3
4.5;0.165;0.22;5.3999999999999995;-0.12999999999999998;56.0;128.0;0.9953;3.65;0.5;10.2;3
6.3;0.135;0.19000000000000003;7.85;-0.13399999999999998;75.0;143.0;0.9966;3.3699999999999997;0.41;10.0;3
6.800000000000001;0.35000000000000003;-0.13;2.1;0.044;28.0;115.0;0.9913;3.31;0.54;12.100000000000001;3
5.0;0.18500000000000003;0.23;0.6999999999999997;-0.13499999999999998;52.0;159.0;0.993;3.65;0.47;10.7;3
7.6;0.38;-0.10000000000000003;7.1;0.039;36.0;122.0;0.9939;3.4000000000000004;0.36000000000000004;12.3;3
6.8999999999999995;-0.12000000000000005;0.2;1.6;0.036000000000000004;26.0;190.0;0.991;3.2;0.6599999999999999;10.6;3
8.5;-0.16000000000000006;0.26;1.4;0.052000000000000005;26.0;177.0;0.9954;3.27;0.38;7.6;3
5.800000000000001;0.35000000000000003;-0.15000000000000002;1.1;0.057999999999999996;24.0;117.0;0.9943;3.6;0.52;9.600000000000001;3
8.0;0.03;0.33999999999999997;2.6999999999999997;0.019000000000000003;22.0;152.0;0.9944000000000001;3.3300000000000005;0.51;10.7;3
8.600000000000001;0.35;0.18999999999999997;16.299999999999997;0.087;41.5;189.0;0.9982;3.23;0.7;9.8;3
6.0;0.39;-0.15000000000000002;1.5;0.068;22.0;120.0;0.9946;3.56;0.56;9.700000000000001;3
6.9;0.18;0.38999999999999996;7.6;0.024;23.0;148.0;0.9967;3.2900000000000005;0.44999999999999996;9.899999999999999;3
10.6;0.19999999999999998;0.29000000000000004;4.300000000000001;0.020999999999999998;27.0;127.0;0.9936;2.73;0.68;12.399999999999999;3
6.300000000000001;0.27;-0.12;8.55;0.043;36.0;128.0;0.9936;3.5100000000000002;0.36000000000000004;11.600000000000001;3
7.0;0.24000000000000002;0.28;16.5;0.06399999999999999;56.0;172.0;0.99645;2.74;0.46;9.399999999999999;3
6.6000000000000005;0.27;0.20000000000000004;8.2;0.030999999999999993;35.0;161.0;0.99365;3.0700000000000003;0.63;10.6;3
8.8;0.3;0.09999999999999998;8.549999999999997;0.074;56.5;193.0;0.9946;3.04;0.46;10.000000000000002;3
8.6;0.13000000000000003;0.27;-0.30000000000000027;0.048;17.0;70.0;0.9947;3.32;0.29000000000000004;8.0;3
7.0;0.24000000000000002;0.28;16.5;0.06399999999999999;56.0;172.0;0.99645;2.74;0.46;9.399999999999999;3
6.6000000000000005;0.27;0.20000000000000004;8.2;0.030999999999999993;35.0;161.0;0.99365;3.0700000000000003;0.63;10.6;3
8.8;0.3;0.09999999999999998;8.549999999999997;0.074;56.5;193.0;0.9946;3.04;0.46;10.000000000000002;3
6.9;0.35000000000000003;0.0;11.9;0.069;28.0;119.0;0.9974;3.4000000000000004;0.41000000000000003;9.700000000000001;3
7.3;-0.4800000000000001;0.48000000000000004;2.4999999999999996;0.041999999999999996;6.0;116.0;0.9951199999999999;3.3299999999999996;0.37;8.7;3
10.0;0.2;0.30999999999999994;13.349999999999998;0.07799999999999999;59.5;186.0;0.9987999999999999;3.2399999999999998;0.8500000000000001;9.500000000000002;3
6.9;0.35000000000000003;0.0;11.9;0.069;28.0;119.0;0.9974;3.4000000000000004;0.41000000000000003;9.700000000000001;3
10.0;0.2;0.30999999999999994;13.349999999999998;0.07799999999999999;59.5;186.0;0.9987999999999999;3.2399999999999998;0.8500000000000001;9.500000000000002;3
5.699999999999999;0.039999999999999925;0.17;1.5;0.059000000000000004;39.0;185.0;0.9928;3.3000000000000003;0.32999999999999996;8.4;3
7.3;-0.4800000000000001;0.48000000000000004;2.4999999999999996;0.041999999999999996;6.0;116.0;0.9951199999999999;3.3299999999999996;0.37;8.7;3
4.799999999999999;0.43000000000000005;0.27999999999999997;2.8999999999999995;0.048;27.0;75.0;0.9913000000000001;3.54;0.34;11.1;3
6.6000000000000005;0.17;-0.010000000000000009;0.7;0.041999999999999996;17.0;110.0;0.9917;3.43;0.45;11.4;3
7.6;0.44;-0.10000000000000003;3.5999999999999996;0.033999999999999996;30.0;100.0;0.9911;3.24;0.34;13.100000000000001;3
7.0;0.10999999999999999;0.32999999999999996;4.1;0.0010000000000000009;11.0;163.0;0.9926;3.22;0.51;12.299999999999999;3
10.2;0.1;0.27;16.8;0.013000000000000001;34.0;132.0;0.9971;2.9;0.56;12.399999999999999;3
6.6000000000000005;0.52;-0.39;0.30000000000000004;0.038;45.0;114.0;0.9932;3.43;0.36000000000000004;9.5;3
6.4;0.4;0.25999999999999995;0.6499999999999999;0.020000000000000004;28.0;96.0;0.989;3.45;0.37;13.700000000000001;3
6.2;0.35000000000000003;-0.10999999999999999;0.7;0.036;37.0;131.0;0.9889;3.43;0.43;13.3;3
7.0;0.10999999999999999;0.32999999999999996;4.1;0.0010000000000000009;11.0;163.0;0.9926;3.22;0.51;12.299999999999999;3
6.800000000000001;0.31;-0.08000000000000002;1.2;0.039;22.0;110.0;0.9926;3.31;0.4;11.200000000000001;3
7.6;0.44;-0.10000000000000003;3.5999999999999996;0.033999999999999996;30.0;100.0;0.9911;3.24;0.34;13.100000000000001;3
6.7;0.33;0.11000000000000004;12.6;0.023999999999999994;35.0;164.0;0.99545;2.9000000000000004;0.37000000000000005;9.7;3
7.5;0.46;0.37;1.15;0.022000000000000006;14.0;84.0;0.9937999999999999;3.49;0.53;11.8;3
6.7;0.33;0.11000000000000004;12.6;0.023999999999999994;35.0;164.0;0.99545;2.9000000000000004;0.37000000000000005;9.7;3
7.9;0.45;0.23000000000000004;12.299999999999999;0.021999999999999992;41.0;166.0;0.99285;2.8000000000000003;0.48000000000000004;12.0;3
7.9;0.45;0.23000000000000004;12.299999999999999;0.021999999999999992;41.0;166.0;0.99285;2.8000000000000003;0.48000000000000004;12.0;3
7.6000000000000005;0.5;0.23000000000000004;16.2;0.02099999999999999;34.0;152.0;0.99335;2.81;0.56;12.7;3
7.9;0.45;0.23000000000000004;12.299999999999999;0.021999999999999992;41.0;166.0;0.99285;2.8000000000000003;0.48000000000000004;12.0;3
7.6000000000000005;0.5;0.23000000000000004;16.2;0.02099999999999999;34.0;152.0;0.99335;2.81;0.56;12.7;3
6.6000000000000005;0.22;0.29000000000000004;6.699999999999999;0.03499999999999999;43.0;159.0;0.99295;3.2800000000000002;0.46;11.299999999999999;3
7.8;0.48000000000000004;0.25;14.5;0.20299999999999999;40.0;214.0;0.99832;2.97;0.46;10.0;3
6.4;0.21000000000000002;-0.16;5.2;0.127;26.0;104.0;0.9954;3.2800000000000002;0.56;9.700000000000001;3
6.6000000000000005;0.26;-0.10000000000000003;1.7000000000000002;0.040999999999999995;36.0;102.0;0.992;3.5100000000000002;0.66;11.3;3
6.4;0.21000000000000002;-0.16;5.2;0.127;26.0;104.0;0.9954;3.2800000000000002;0.56;9.700000000000001;3
6.0;-0.14000000000000007;0.29000000000000004;1.0;0.064;24.0;165.0;0.9926;3.54;0.43;9.0;3
6.6000000000000005;0.26;-0.10000000000000003;1.7000000000000002;0.040999999999999995;36.0;102.0;0.992;3.5100000000000002;0.66;11.3;3
8.1;0.14;0.41000000000000003;11.950000000000001;0.042;92.0;230.5;1.0003000000000002;3.4699999999999998;0.68;8.9;3
11.8;0.11000000000000001;0.42000000000000004;10.7;0.043;32.0;140.0;0.999;2.87;0.8300000000000001;11.599999999999998;3
6.5;0.48000000000000004;0.43;4.35;0.017000000000000005;22.0;94.0;0.9904;3.3600000000000003;0.55;13.700000000000001;3
7.6000000000000005;0.45;0.19000000000000006;12.6;0.039999999999999994;44.0;156.0;0.99605;2.95;0.49000000000000005;9.7;3
5.3999999999999995;0.18500000000000003;0.51;6.5;-0.12699999999999997;64.0;181.0;0.9987;3.3899999999999997;0.42;7.6;3
7.6000000000000005;0.45;0.19000000000000006;12.6;0.039999999999999994;44.0;156.0;0.99605;2.95;0.49000000000000005;9.7;3
6.1;-0.08000000000000007;0.21000000000000002;1.7;0.052000000000000005;48.0;190.0;0.992;3.37;0.33999999999999997;9.9;3
6.199999999999999;-0.07000000000000006;0.21000000000000002;1.6;0.056;50.0;182.0;0.9925;3.3200000000000003;0.33999999999999997;9.5;3
6.5;0.48000000000000004;0.43;4.35;0.017000000000000005;22.0;94.0;0.9904;3.3600000000000003;0.55;13.700000000000001;3
5.800000000000001;0.2;-0.08000000000000002;1.1;0.053;35.0;127.0;0.9934;3.8400000000000003;0.6900000000000001;10.700000000000001;3
8.0;-0.5900000000000001;0.67;1.4999999999999996;0.054000000000000006;13.0;107.0;0.99622;3.4599999999999995;0.55;9.6;3
7.0;0.25;0.34;7.5;0.03899999999999999;44.0;171.0;0.9924499999999999;2.97;0.6000000000000001;11.2;3
9.2;0.22;0.16;12.349999999999998;0.07799999999999999;82.5;199.0;0.9961;3.1;0.51;10.500000000000002;3
8.0;0.019999999999999962;0.30000000000000004;1.6;0.066;13.0;177.0;0.9946;3.2600000000000002;0.38999999999999996;8.2;3
8.0;0.009999999999999953;0.30000000000000004;1.4;0.066;14.0;172.0;0.9946;3.25;0.38999999999999996;8.2;3
9.2;0.22;0.16;12.349999999999998;0.07799999999999999;82.5;199.0;0.9961;3.1;0.51;10.500000000000002;3
4.5;0.10500000000000001;0.12000000000000002;3.3;-0.12199999999999998;59.0;162.0;0.9967;3.6399999999999997;0.7;9.1;3
5.6;0.12500000000000003;0.21000000000000005;8.799999999999999;-0.11399999999999999;80.0;187.0;0.9991;3.46;0.5;8.6;3
6.7;0.15000000000000002;-0.08000000000000002;1.7999999999999998;0.057999999999999996;21.0;104.0;0.9924;3.4800000000000004;0.9400000000000001;11.8;3
7.8;0.28;0.17999999999999997;6.149999999999998;0.074;56.5;204.0;0.9938;3.2;0.45;10.200000000000001;3
6.5;0.27;-0.09000000000000002;1.9;0.046;24.0;122.0;0.994;3.6700000000000004;0.63;10.8;3
7.8;0.16999999999999998;0.42;9.600000000000001;0.218;29.0;141.0;0.9972000000000001;3.2500000000000004;0.41;10.499999999999998;3
8.8;0.27;0.12999999999999998;12.249999999999998;0.075;44.5;201.0;0.9964;3.3;0.56;10.500000000000002;3
10.4;0.19999999999999998;0.25000000000000006;16.700000000000003;0.015;34.0;138.0;0.9966;2.64;0.43000000000000005;11.999999999999998;3
7.6000000000000005;0.22;0.26000000000000006;8.399999999999999;0.021999999999999992;41.0;143.0;0.99125;2.83;0.43000000000000005;12.5;3
8.399999999999999;0.19;0.2700000000000001;9.6;0.025999999999999995;41.0;139.0;0.99325;2.72;0.42000000000000004;10.799999999999999;3
6.5;0.2;0.20000000000000004;2.8999999999999995;0.039999999999999994;35.0;162.0;0.9904499999999999;2.99;0.55;11.0;3
7.2;0.22;0.21000000000000005;6.199999999999999;0.03899999999999999;38.0;167.0;0.99255;3.02;0.54;11.1;3
6.0;0.34;0.19000000000000006;17.15;0.03799999999999999;26.0;165.0;0.99565;2.77;0.51;9.6;3
6.0;0.34;0.19000000000000006;17.15;0.03799999999999999;26.0;165.0;0.99565;2.77;0.51;9.6;3
8.100000000000001;0.3;0.30000000000000004;8.45;0.024999999999999994;37.0;153.0;0.99185;2.74;0.36000000000000004;11.5;3
6.8;0.32;0.37000000000000005;17.15;0.048999999999999995;16.0;164.0;0.99775;3.06;0.65;9.899999999999999;3
5.8;0.11500000000000002;0.23;0.5999999999999996;-0.11499999999999999;50.0;141.0;0.9961;3.5;0.53;8.2;3
8.4;0.34;0.32999999999999996;0.8499999999999999;0.020000000000000004;22.0;78.0;0.9914999999999999;3.1500000000000004;0.3;11.8;3
6.9;-0.6600000000000001;0.89;15.299999999999999;0.03899999999999999;11.0;103.0;0.99942;3.2399999999999998;0.32;8.499999999999998;3
7.5;0.22999999999999998;0.25;16.200000000000003;0.037;48.0;214.0;0.99862;3.16;0.53;9.899999999999999;3
6.9;-0.6600000000000001;0.89;15.299999999999999;0.03899999999999999;11.0;103.0;0.99942;3.2399999999999998;0.32;8.499999999999998;3
7.5;0.22999999999999998;0.25;16.200000000000003;0.037;48.0;214.0;0.99862;3.16;0.53;9.899999999999999;3
7.5;0.22999999999999998;0.25;16.200000000000003;0.037;48.0;214.0;0.99862;3.16;0.53;9.899999999999999;3
5.800000000000001;0.24000000000000002;-0.07;7.4;0.033;33.0;124.0;0.9948;3.64;0.41000000000000003;10.5;3
6.9;-0.6600000000000001;0.89;15.299999999999999;0.03899999999999999;11.0;103.0;0.99942;3.2399999999999998;0.32;8.499999999999998;3
6.4;0.55;-0.37;0.5;0.039999999999999994;38.0;107.0;0.993;3.4400000000000004;0.34;9.3;3
6.3999999999999995;-0.08000000000000007;0.37;13.6;0.060000000000000005;41.0;179.0;0.9988;3.49;0.35;8.2;3
8.4;0.24;0.28;16.2;0.074;49.5;187.0;0.998;3.3;0.48;10.3;3
7.0;0.17;0.010000000000000009;0.8;0.039999999999999994;23.0;112.0;0.9932;3.3800000000000003;0.78;10.3;3
7.5;0.22999999999999998;0.25;16.200000000000003;0.037;48.0;214.0;0.99862;3.16;0.53;9.899999999999999;3
8.8;0.33;0.2899999999999999;12.049999999999997;0.06999999999999999;43.5;199.0;0.9969;3.14;0.7;9.8;3
7.0;0.25;0.30000000000000004;19.4;0.03699999999999999;40.0;141.0;0.99805;2.98;0.46;9.399999999999999;3
7.0;0.25;0.30000000000000004;19.4;0.03699999999999999;40.0;141.0;0.99805;2.98;0.46;9.399999999999999;3
7.0;0.36;0.43000000000000005;7.6;0.04699999999999999;31.0;160.0;0.99325;2.8200000000000003;0.49000000000000005;10.2;3
9.100000000000001;0.26;0.21;8.649999999999999;0.064;72.5;214.0;0.9949;2.89;0.55;10.200000000000001;3
7.7;0.3;0.6600000000000001;9.2;0.02799999999999999;53.0;165.0;0.99465;2.58;0.46;9.6;3
7.7;0.3;0.6600000000000001;9.2;0.02799999999999999;53.0;165.0;0.99465;2.58;0.46;9.6;3
7.6000000000000005;0.45;0.37999999999999995;8.25;0.041;16.0;89.0;0.997;3.3600000000000003;0.5700000000000001;11.3;3
6.1000000000000005;0.46;-0.08000000000000002;1.4;0.033999999999999996;40.0;104.0;0.99;3.5300000000000002;0.64;12.9;3
10.2;0.24000000000000002;0.26000000000000006;15.2;0.023999999999999994;45.0;165.0;0.99685;2.4000000000000004;0.48000000000000004;10.399999999999999;3
10.9;0.03999999999999998;0.27;10.8;0.023;14.0;119.0;0.996;2.5;0.4000000000000001;10.799999999999999;3
7.9;-0.09000000000000005;0.31;10.7;0.05;26.0;184.0;0.9984;3.0500000000000003;0.41;7.6;3
7.2;0.36000000000000004;-0.12;0.7;0.044;24.0;106.0;0.9932;3.25;0.5700000000000001;10.700000000000001;3
9.100000000000001;0.26;0.21;8.649999999999999;0.064;72.5;214.0;0.9949;2.89;0.55;10.200000000000001;3
7.7;0.3;0.6600000000000001;9.2;0.02799999999999999;53.0;165.0;0.99465;2.58;0.46;9.6;3
9.5;0.11000000000000001;0.32;4.800000000000001;0.020999999999999998;16.0;121.0;0.9951;2.7;0.75;10.999999999999998;3
5.7;0.29500000000000004;0.23;1.2999999999999998;-0.13899999999999998;66.0;159.0;0.9937;3.44;0.6299999999999999;10.6;3
7.6000000000000005;0.5;0.32999999999999996;5.35;0.026000000000000002;27.0;98.0;0.9907999999999999;3.0000000000000004;0.52;13.9;3
7.0;0.15000000000000002;-0.04999999999999999;8.8;0.066;39.0;126.0;0.9966;3.45;0.41000000000000003;9.9;3
5.699999999999999;-0.07000000000000006;0.32;8.1;0.055;54.0;181.0;0.9958;3.2;0.33999999999999997;7.699999999999999;3
6.299999999999999;0.15000000000000002;0.3;-0.6000000000000003;0.047;23.0;74.0;0.9931000000000001;3.29;0.71;8.4;3
7.300000000000001;0.32;-0.12;8.0;0.039999999999999994;19.0;112.0;0.9939;3.2;0.48000000000000004;12.0;3
8.5;0.04000000000000001;0.27999999999999997;3.4;0.012000000000000004;22.0;152.0;0.9967;3.22;0.48;9.899999999999999;3
10.3;0.26;0.27;6.4;0.017;27.0;136.0;0.9924000000000001;2.54;0.43000000000000005;12.399999999999999;3
7.6000000000000005;0.5;0.32999999999999996;5.35;0.026000000000000002;27.0;98.0;0.9907999999999999;3.0000000000000004;0.52;13.9;3
5.699999999999999;-0.07000000000000006;0.32;8.1;0.055;54.0;181.0;0.9958;3.2;0.33999999999999997;7.699999999999999;3
6.299999999999999;0.15000000000000002;0.3;-0.6000000000000003;0.047;23.0;74.0;0.9931000000000001;3.29;0.71;8.4;3
6.8;0.36;0.28;15.5;0.03499999999999999;54.0;176.0;0.99715;2.85;0.63;9.6;3
8.5;0.22;0.38;12.049999999999997;0.074;55.5;191.0;0.9974;3.2;0.72;9.700000000000001;3
5.8999999999999995;0.18500000000000003;0.26;9.7;-0.11599999999999999;54.5;159.0;0.9997;3.3499999999999996;0.53;8.799999999999999;3
7.0;0.15000000000000002;-0.04999999999999999;8.8;0.066;39.0;126.0;0.9966;3.45;0.41000000000000003;9.9;3
10.5;-0.05000000000000002;0.16000000000000003;7.800000000000001;0.039;27.0;128.0;0.9971;2.83;0.47000000000000003;9.799999999999999;3
8.2;0.59;0.17000000000000004;1.2999999999999998;-0.006000000000000002;10.0;61.0;0.99046;2.92;0.5700000000000001;11.200000000000001;3
7.3;-0.6000000000000001;0.64;0.6999999999999997;0.028;3.0;106.0;0.9937199999999999;3.3299999999999996;0.36000000000000004;9.7;3
6.7;0.34;0.5499999999999999;1.0499999999999998;0.192;16.0;97.0;0.9924999999999999;3.2300000000000004;0.36;11.4;3
6.7;0.36;0.5399999999999999;1.0499999999999998;0.196;15.0;96.0;0.9925999999999999;3.2300000000000004;0.36;11.4;3
7.3;0.26;0.2700000000000001;2.6999999999999997;0.04299999999999999;46.0;168.0;0.99065;2.73;0.46;11.2;3
8.2;0.27;0.19999999999999998;5.149999999999998;0.072;46.5;195.0;0.9918;3.19;0.45;12.100000000000001;3
9.0;0.35000000000000003;0.32000000000000006;10.799999999999999;0.02699999999999999;46.0;171.0;0.99465;2.7600000000000002;0.45000000000000007;10.899999999999999;3
9.6;0.85;0.19999999999999998;5.85;0.030000000000000006;16.0;93.0;0.9942;2.9600000000000004;0.27;11.5;3
6.3;0.1499999999999999;0.6100000000000001;8.3;0.093;27.0;183.0;0.9964;3.12;0.26999999999999996;7.699999999999999;3
7.2;0.42000000000000004;0.32999999999999996;1.25;0.028000000000000004;26.0;87.0;0.9917999999999999;3.3000000000000003;0.5900000000000001;11.700000000000001;3
9.0;0.35000000000000003;0.32000000000000006;10.799999999999999;0.02699999999999999;46.0;171.0;0.99465;2.7600000000000002;0.45000000000000007;10.899999999999999;3
6.3999999999999995;-0.19000000000000006;0.23000000000000004;4.6;0.09;34.0;173.0;0.9938;3.35;0.31;9.6;3
7.6000000000000005;0.30000000000000004;0.31999999999999995;0.8499999999999999;0.019000000000000003;28.0;84.0;0.9922;3.4000000000000004;0.27;11.3;3
7.0;0.32;0.31000000000000005;8.7;0.04299999999999999;35.0;142.0;0.99395;2.8200000000000003;0.43000000000000005;9.7;3
7.0;0.32;0.31000000000000005;8.7;0.04299999999999999;35.0;142.0;0.99395;2.8200000000000003;0.43000000000000005;9.7;3
7.5;0.25;0.31999999999999995;9.949999999999998;0.066;47.5;197.0;0.9948;3.14;0.5800000000000001;10.200000000000001;3
7.2;0.45;0.29999999999999993;-0.550000000000002;0.07599999999999998;60.5;199.0;0.9912;2.98;0.46;9.700000000000001;3
8.3;0.27;0.29000000000000004;8.899999999999999;0.039999999999999994;39.0;151.0;0.9934499999999999;2.6700000000000004;0.63;10.7;3
4.2;0.14500000000000002;0.25;10.6;-0.10199999999999998;59.0;159.0;1.0013;3.92;0.47;7.6;3
6.9;0.45;0.29999999999999993;-0.550000000000002;0.07599999999999998;60.5;199.0;0.9912;2.98;0.46;9.700000000000001;3
10.7;0.01999999999999999;0.28;4.300000000000001;0.03;37.0;136.0;0.9957;2.88;0.63;10.599999999999998;3
6.9;0.32;0.43000000000000005;7.8;0.04499999999999999;29.0;159.0;0.99325;2.72;0.49000000000000005;10.299999999999999;3
9.0;0.6849999999999998;0.42000000000000004;1.4;0.056;34.0;186.0;0.9966;3.14;0.41;8.7;3
8.3;0.12;0.33999999999999997;9.5;-0.008999999999999998;30.0;141.0;0.9939000000000001;3.14;0.32;13.299999999999999;3
8.3;0.25;0.37000000000000005;5.3999999999999995;0.03499999999999999;49.0;171.0;0.99405;3.0500000000000003;0.79;11.5;3
4.2;0.215;0.21000000000000005;9.7;-0.10499999999999998;68.0;170.0;0.9994;3.21;0.6099999999999999;7.6;3
6.3999999999999995;0.12000000000000002;0.37;-0.8000000000000003;0.033;19.0;66.0;0.9942000000000001;3.62;0.37000000000000005;8.4;3
7.4;0.26;0.29;6.85;0.046000000000000006;23.0;89.0;0.996;3.3600000000000003;0.31;10.6;3
8.9;0.31000000000000005;0.27999999999999997;0.6499999999999999;0.012000000000000004;14.0;91.0;0.9924;2.8600000000000003;0.3;11.5;3
8.9;0.31000000000000005;0.27999999999999997;0.6499999999999999;0.012000000000000004;14.0;91.0;0.9924;2.8600000000000003;0.3;11.5;3
13.0;0.03999999999999998;0.44;4.2;0.023;21.0;124.0;0.9977;2.44;0.7000000000000001;9.899999999999999;3
